"Sex","Wr.Hnd","NW.Hnd","W.Hnd","Fold","Pulse","Clap","Exer","Smoke","Height","M.I","Age","Wr.Hnd_z","NW.Hnd_z","Pulse_z","Height_z","Age_z","Sex_enc","W.Hnd_enc","M.I_enc","ExerFreq","ExerNone","ExerSome","SmokeHeavy","SmokeNever","SmokeOccas","SmokeRegul"
"Female",18.5,18,"Right","R on L",92,"Left","Some","Never",173,"Metric",18.25,-0.0960526913709364,-0.318478948117914,1.81004994249205,0.0862232045928082,-0.487874719367923,1,2,2,0,0,1,0,1,0,0
"Male",19.5,20.5,"Left","R on L",98,"Left","None","Regul",177.8,"Imperial",17.583,0.444671485705355,1.00572299405657,2.40981483081168,0.606857586465316,-0.804144686532143,2,1,1,0,1,0,0,0,0,1
"Male",18,14.2,"Right","L on R",87,"Neither","None","Occas",171,"Metric",16.917,-0.366414779909082,-2.33126590022313,1.31024586889236,-0.13070778785407,-1.11994048582955,2,2,2,0,1,0,0,0,1,0
"Male",18.8,18.9,"Right","R on L",72.5,"Neither","None","Never",160,"Metric",20.333,0.0661645617519512,0.1582337510649,-0.139185944546749,-1.3238282463119,0.499816947203393,2,2,2,0,1,0,0,1,0,0
"Male",20,20,"Right","Neither",50,"Right","Some","Never",165,"Metric",23.667,0.7150335742435,0.740882605621674,-2.38830427574536,-0.781500765194703,2.08069261515768,2,2,2,0,0,1,0,1,0,0
"Female",18,17.7,"Right","L on R",64,"Right","Some","Never",172.72,"Imperial",21,-0.366414779909082,-0.477383181178853,-0.988852869666225,0.0558528656502452,0.816086914367613,1,2,1,0,0,1,0,1,0,0
"Male",17.7,17.7,"Right","L on R",83,"Right","Freq","Never",182.88,"Imperial",18.833,-0.52863203303197,-0.477383181178853,0.910402610012603,1.15786230728038,-0.21143485301599,2,2,1,1,0,0,0,1,0,0
"Female",17,17.3,"Right","R on L",74,"Right","Freq","Never",157,"Metric",23.917,-0.907138956985373,-0.68925549192677,0.0107552775331582,-1.64922473498221,2.19923458186091,1,2,2,1,0,0,0,1,0,0
"Male",20,19.5,"Right","R on L",72,"Right","Some","Never",175,"Metric",19,0.7150335742435,0.476042217186777,-0.189166351906718,0.303154197039686,-0.132248819258232,2,2,2,0,0,1,0,1,0,0
"Male",18.5,18.5,"Right","R on L",90,"Right","Some","Never",167,"Metric",22.333,-0.0960526913709364,-0.0536385596830174,1.61012831305217,-0.564569772747825,1.44815268082924,2,2,2,0,0,1,0,1,0,0
"Female",17,17.2,"Right","L on R",80,"Right","Freq","Never",156.2,"Imperial",23.917,-0.907138956985373,-0.74222356961375,0.610520165852788,-1.73599713196097,2.19923458186091,1,2,1,1,0,0,0,1,0,0
"Male",21,21,"Right","R on L",68,"Left","Freq","Never",171,"Metric",18.25,1.25575775131979,1.27056338249147,-0.589009610786472,-0.13070778785407,-0.487874719367923,2,2,2,1,0,0,0,1,0,0
"Female",16,16,"Right","L on R",72.5,"Right","Some","Never",155,"Metric",18.75,-1.44786313406166,-1.3778405018575,-0.139185944546749,-1.86615572742909,-0.250790785961462,1,2,2,0,0,1,0,1,0,0
"Female",19.5,20.2,"Right","L on R",66,"Neither","Some","Never",155,"Metric",17.5,0.444671485705355,0.846818760995632,-0.788931240226348,-1.86615572742909,-0.843500619477615,1,2,2,0,0,1,0,1,0,0
"Male",16,15.5,"Right","R on L",60,"Right","Some","Never",171,"Metric",17.167,-1.44786313406166,-1.6426808902924,-1.38869612854598,-0.13070778785407,-1.00139851912632,2,2,2,0,0,1,0,1,0,0
"Female",17.5,17,"Right","R on L",72.5,"Right","Freq","Never",156,"Metric",17.167,-0.636776868447227,-0.848159724987709,-0.139185944546749,-1.75769023120565,-1.00139851912632,1,2,2,1,0,0,0,1,0,0
"Female",18,18,"Right","L on R",89,"Neither","Freq","Never",157,"Metric",19.333,-0.366414779909082,-0.318478948117914,1.51016749833223,-1.64922473498221,0.0256490803904708,1,2,2,1,0,0,0,1,0,0
"Male",19.4,19.2,"Left","R on L",74,"Right","Some","Never",182.88,"Imperial",18.333,0.390599067997725,0.317137984125838,0.0107552775331582,1.15786230728038,-0.448518786422452,2,1,1,0,0,1,0,1,0,0
"Male",20.5,20.5,"Right","L on R",72.5,"Left","Some","Never",190.5,"Imperial",19.75,0.985395662781646,1.00572299405657,-0.139185944546749,1.98436938850299,0.22337708085146,2,2,1,0,0,1,0,1,0,0
"Male",21,20.9,"Right","R on L",78,"Right","Freq","Never",177,"Metric",17.917,1.25575775131979,1.21759530480449,0.410598536412911,0.520085189486564,-0.645772619016626,2,2,2,1,0,0,0,1,0,0
"Male",21.5,22,"Right","R on L",72,"Left","Freq","Never",190.5,"Imperial",17.917,1.52611983985794,1.80024415936126,-0.189166351906718,1.98436938850299,-0.645772619016626,2,2,1,1,0,0,0,1,0,0
"Male",20.1,20.7,"Right","L on R",72,"Right","Freq","Never",180.34,"Imperial",18.167,0.76910599195113,1.11165914943053,-0.189166351906718,0.88235994687285,-0.527230652313395,2,2,1,1,0,0,0,1,0,0
"Male",18.5,18,"Right","L on R",64,"Right","Freq","Never",180.34,"Imperial",17.833,-0.0960526913709364,-0.318478948117914,-0.988852869666225,0.88235994687285,-0.685602719828913,2,2,1,1,0,0,0,1,0,0
